Form Name,Section,Subsection,Question,Answer Type,Expected Data Element,Business Definition
Form ADV,Item 1,1.A,"Your full legal name (if you are a sole proprietor, your last, first, and middle names):",Text,Full Legal Name,"The complete legal name of the adviser, including the last, first, and middle names for sole proprietors."
Form ADV,Item 1,1.B(1),"Name under which you primarily conduct your advisory business, if different from Item 1.A.",Text,Business Name,"The name under which the advisory business is primarily conducted, if different from the legal name provided in Item 1.A."
Form ADV,Item 1,1.B(2),"If you are using this Form ADV to register more than one investment adviser under an umbrella registration, check this box.",Checkbox,Umbrella Registration [Yes/No],Indicates whether the Form ADV is being used to register multiple investment advisers under an umbrella registration.
Form ADV,Item 1,1.C,"If this filing is reporting a change in your legal name (Item 1.A.) or primary business name (Item 1.B.(1)), enter the new name and specify whether the name change is of your legal name or your primary business name:",Text,"New Name, Name Change Type [Legal/Business]",The new legal or business name being reported and the type of name change (legal name or business name).
Form ADV,Item 1,1.D(1),"If you are registered with the SEC as an investment adviser, your SEC file number: 801-.",Text,SEC File Number 801,The SEC file number (801-) assigned to the investment adviser registered with the SEC.
Form ADV,Item 1,1.D(2),"If you report to the SEC as an exempt reporting adviser, your SEC file number: 802-.",Text,SEC File Number 802,The SEC file number (802-) assigned to the exempt reporting adviser.
Form ADV,Item 1,1.D(3),"If you have one or more Central Index Key numbers assigned by the SEC ('CIK Numbers'), all of your CIK numbers:.",Text,CIK Numbers,The Central Index Key (CIK) numbers assigned by the SEC to the adviser.
Form ADV,Item 1,1.E(1),"If you have a number ('CRD Number') assigned by the FINRA's CRD system or by the IARD system, your CRD number:.",Text,CRD Number,The Central Registration Depository (CRD) number assigned to the adviser by FINRA or IARD.
Form ADV,Item 1,1.E(2),"If you have additional CRD Numbers, your additional CRD numbers:.",Text,Additional CRD Numbers,Any additional CRD numbers assigned to the adviser.
Form ADV,Item 1,1.F(1),Address (do not use a P.O. Box):,Text,Address,"The physical address of the principal office and place of business of the adviser, not using a P.O. Box."
